Name;ISIN;Symbol;Market;"Trading Currency";Open;High;Low;Last;"Last Date/Time";"Time Zone";Volume;Turnover
"SALMONES CAMANCHAC";NO0012451915;SACAM;"Oslo Børs";NOK;41.80;41.80;40.50;40.50;"13/05/2022 16:04";CET;84;3453.10
"SANDNES SPAREBANK";NO0006001007;SADG;"Oslo Børs";NOK;93.00;94.80;93.00;94.80;"13/05/2022 16:25";CET;2400;223663.40
"SAS AB";SE0003366871;SASNO;"Oslo Børs";NOK;0.9058;0.9302;0.9036;0.9232;"13/05/2022 16:25";CET;1969906;1818086.6416
SATS;NO0010863285;SATS;"Oslo Børs";NOK;14.38;14.38;13.18;13.48;"13/05/2022 16:25";CET;211240;2851649.50
SCANA;NO0003053308;SCANA;"Oslo Børs";NOK;1.28;1.29;1.172;1.228;"13/05/2022 15:55";CET;1597293;1958169.60
SCATEC;NO0010715139;SCATC;"Oslo Børs";NOK;88.70;90.24;87.70;90.22;"13/05/2022 16:28";CET;953949;85223453.62
"SCHIBSTED SER. A";NO0003028904;SCHA;"Oslo Børs";NOK;187.90;194.10;186.00;193.90;"13/05/2022 16:25";CET;432350;82784141.80
"SCHIBSTED SER. B";NO0010736879;SCHB;"Oslo Børs";NOK;168.40;174.40;168.40;174.40;"13/05/2022 16:28";CET;322773;55614086.60
"SEABIRD EXPLORAT";CY0101162119;GEG;"Oslo Børs";NOK;3.59;3.87;3.59;3.85;"13/05/2022 16:17";CET;101293;374625.76
SEADRILL;BMG7997W1029;SDRL;"Euronext Expand Oslo";NOK;325.45;360.00;325.45;360.00;"13/05/2022 16:25";CET;3588;1241994.75
"SEAWAY 7";NO0010893803;SEAW7;"Euronext Growth Oslo";NOK;10.50;10.50;9.70;10.00;"13/05/2022 16:25";CET;784789;7827851.75
"SELF STORAGE GROUP";NO0010781206;SSG;"Oslo Børs";NOK;30.30;30.80;30.30;30.70;"13/05/2022 12:41";CET;4339;132443.00
"SELVAAG BOLIG";NO0010612450;SBO;"Oslo Børs";NOK;44.50;44.50;43.00;43.85;"13/05/2022 16:26";CET;20019;870167.90
"SHELF DRILLING";KYG236271055;SHLF;"Oslo Børs";NOK;15.98;15.98;14.62;14.94;"13/05/2022 16:25";CET;468658;7018733.40
"SIEM OFFSHORE";KYG812291253;SIOFF;"Oslo Børs";NOK;15.44;15.78;13.54;15.38;"13/05/2022 16:28";CET;3792497;55835784.38
"SIKRI HOLDING";NO0010881717;SIKRI;"Euronext Growth Oslo";NOK;86.00;86.00;85.00;85.00;"13/05/2022 16:00";CET;117;9962.00
